URI,Citation URI,Item Label,Project Label,Project URI,Context (1),Context (2),Context (3),Context (4),Context (5),Context URI,Latitude (WGS-84),Longitude (WGS-84),Early BCE/CE,Late BCE/CE,Item Category,Published Date,Updated Date,Has Biological Taxonomy,Has taxonomic identifier,Has anatomical identification,Has fusion character,Has physiological sex determination,Archaeological Horizon,Articulation,Completeness Of Element,Completeness Of Portion,Fusion Distal,Fusion Proximal,Osteo Id,Pathology,Proximaldistal,Sex,Symmetry,Taxonomic Id,Principal Author / Analyst,Fragmentation,Number Of Elements,Number Of Fragments
http://opencontext.org/subjects/19742C34-8F1D-41B4-193A-643E37047525,https://n2t.net/ark:/28722/k2mp4vs27,Bone J5c 22-31,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VII,Square J5c,,http://opencontext.org/subjects/B48DEDB5-2C3E-45D1-B541-319DC56A74C2,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T05:58:05Z,Ovis orientalis,Ovis orientalis,humerus,Distal epiphysis fused,,22,Separate,"> 1/4, but < 1/2",Complete,Fused,Not applicable,Humerus,No pathology,Distal,Nonidentified,Left,Ovis orientalis,Levent Atici,End + shaft,1,1
http://opencontext.org/subjects/FD3DB5EF-79E1-4196-3A2E-9E4B30BE8D97,https://n2t.net/ark:/28722/k2tq5wv05,Bone J5d20-38,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square J5d,,http://opencontext.org/subjects/22CE88AD-4417-4AA7-1930-94E3A93DBB8D,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:59:01Z,Ovis orientalis,Ovis orientalis,tibia,Distal epiphysis fused,,20,Separate,< 1/4 of estimated size,Complete,Fused,Not applicable,Tibia,No pathology,Distal,Nonidentified,Right,Ovis orientalis,Levent Atici,End only,1,1
http://opencontext.org/subjects/18A2174F-C0F9-4E3C-0D3B-CBA125524033,https://n2t.net/ark:/28722/k29882s0b,Bone J9d21-6,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VII,Square J9d,,http://opencontext.org/subjects/67A1F8BC-00F1-4965-C363-ED5EFC3679DD,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T06:00:56Z,Sheep/goat,Sheep or goat,mandible,,,21,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Ovis/Capra,Levent Atici,Not applicable,0,1
http://opencontext.org/subjects/B075DF64-9735-487F-F565-E5B4592771DB,https://n2t.net/ark:/28722/k2ww7750f,Bone I5d14-58,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square I5d,,http://opencontext.org/subjects/ADC2504C-F861-47E4-A023-A4A71A5CBB3B,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:54:45Z,Ovis orientalis,Ovis orientalis,humerus,Distal epiphysis fused,,14,Separate,"> 1/4, but < 1/2",Complete,Fused,Not applicable,Humerus,No pathology,Distal,Nonidentified,Left,Ovis orientalis,Levent Atici,End + shaft,1,1
http://opencontext.org/subjects/60DE1F30-A41A-4FF2-0448-6C022DB33E10,https://n2t.net/ark:/28722/k2cj87r5r,Bone K5c13-15,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square K5c,,http://opencontext.org/subjects/FE4EA670-5327-44EE-001B-1C19709B882E,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T06:02:53Z,Ovis orientalis,Ovis orientalis,humerus,Distal epiphysis fused,,13,Separate,"> 1/4, but < 1/2",Complete,Fused,Not applicable,Humerus,No pathology,Distal,Nonidentified,Left,Ovis orientalis,Levent Atici,End + shaft,1,1
http://opencontext.org/subjects/2A628099-880F-44EB-EAAF-14F071607517,https://n2t.net/ark:/28722/k2bc3t27v,Bone I5d13-1,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square I5d,,http://opencontext.org/subjects/ADC2504C-F861-47E4-A023-A4A71A5CBB3B,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:54:34Z,Capra aegagrus,Capra aegagrus,humerus,Distal epiphysis fused,,13,Separate,"> 1/4, but < 1/2",Complete,Fused,Not applicable,Humerus,No pathology,Distal,Nonidentified,Left,Capra aegagrus,Levent Atici,End + shaft,1,1
http://opencontext.org/subjects/5C4D42FF-E9EC-41A2-F4AD-70567838A71D,https://n2t.net/ark:/28722/k20r9m871,Bone J5d12-22,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square J5d,,http://opencontext.org/subjects/A2DE2FBE-F9C1-48DA-9AE5-E84A82E2280F,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:58:36Z,Ovis orientalis,Ovis orientalis,tibia,Distal epiphysis fused,,12,Separate,< 1/4 of estimated size,2-Jan,Fused,Not applicable,Tibia,No pathology,Distal,Nonidentified,Left,Ovis orientalis,Levent Atici,End splinter,1,1
http://opencontext.org/subjects/4E20F0CF-9B14-474E-2C66-D127210CD51C,https://n2t.net/ark:/28722/k2x34mw8h,Bone J5c 22-4,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VII,Square J5c,,http://opencontext.org/subjects/B48DEDB5-2C3E-45D1-B541-319DC56A74C2,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T05:58:02Z,Ovis orientalis,Ovis orientalis,tibia,Distal epiphysis fused,,22,Separate,"> 1/4, but < 1/2",Complete,Fused,Not applicable,Tibia,No pathology,Distal,Nonidentified,Right,Ovis orientalis,Levent Atici,End + shaft,1,1
http://opencontext.org/subjects/1E19B39A-8624-49CC-327A-E17C51E5DA63,https://n2t.net/ark:/28722/k2m61h382,Bone K5c30-45,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,XI,Square K5c,,http://opencontext.org/subjects/96DD9BA8-4E6D-47D8-5235-8E8876C3D089,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T06:03:33Z,Ovis orientalis,Ovis orientalis,tibia,Distal epiphysis fused,,30,Separate,"> 1/4, but < 1/2",Complete,Fused,Not applicable,Tibia,No pathology,Distal,Nonidentified,Right,Ovis orientalis,Levent Atici,End + shaft,1,1
http://opencontext.org/subjects/C90186AB-668B-4A1E-C665-B9C3661FFB28,https://n2t.net/ark:/28722/k2r20s13j,Bone K5d19-28,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square K5d,,http://opencontext.org/subjects/9AB5AE08-7EF3-429E-EA1C-78CDE08FBB79,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-26T00:00:00Z,2020-03-28T06:03:50Z,Sheep/goat,Sheep or goat,mandible,,,19,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Ovis/Capra,Levent Atici,Not applicable,0,1
http://opencontext.org/subjects/37CD1435-6839-49C7-2F31-D66D4C1C4F81,https://n2t.net/ark:/28722/k22z12v3r,Bone I5d13-11,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,IV,Square I5d,,http://opencontext.org/subjects/ADC2504C-F861-47E4-A023-A4A71A5CBB3B,37.08335,30.579436,-12500,-12100,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:54:35Z,Sheep/goat,Sheep or goat,mandible,,,13,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,1,1
http://opencontext.org/subjects/70CD9772-3F7A-44EB-E2F7-E36747384733,https://n2t.net/ark:/28722/k22f7q566,Bone J5d20-15,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square J5d,,http://opencontext.org/subjects/22CE88AD-4417-4AA7-1930-94E3A93DBB8D,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:58:58Z,Sheep/goat,Sheep or goat,mandible,,,20,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,0,1
http://opencontext.org/subjects/0AE355A4-2D32-457F-91D8-7190A014A2F7,https://n2t.net/ark:/28722/k2df6qh4f,Bone J5c19-33,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square J5c,,http://opencontext.org/subjects/9884D9D9-BC4A-4022-8706-7C3F6EF9C545,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:57:53Z,Sheep/goat,Sheep or goat,mandible,,,19,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Right,Ovis/Capra,Levent Atici,Not applicable,0,1
http://opencontext.org/subjects/1E429C91-B18C-442C-5012-FAEFDE653CC1,https://n2t.net/ark:/28722/k2c53kf6n,Bone J5d18-19,Zooarchaeology of Öküzini Cave,http://opencontext.org/projects/8894EEC0-DC96-4304-1EFC-4572FD91717A,Turkey,Öküzini Cave,VI,Square J5d,,http://opencontext.org/subjects/22CE88AD-4417-4AA7-1930-94E3A93DBB8D,37.08335,30.579436,-17840,-10950,Animal Bone,2013-02-25T00:00:00Z,2020-03-28T05:58:49Z,Sheep/goat,Sheep or goat,mandible,,,18,Separate,Not applicable,Not applicable,Not applicable,Not applicable,Mandible with teeth,No pathology,Not applicable,Nonidentified,Left,Ovis/Capra,Levent Atici,Not applicable,0,1
