Early BCE/CE,Late BCE/CE,Biological Taxonomy,Taxonomic Identifier,Anatomical Identification,Element,Taxonomic ID,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Ovis orientalis,Ovis orientalis,tooth of lower jaw,Loose mandibular tooth,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-12500,-12100,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metatarsal bones 3 and 4,Metatarsus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-12500,-12100,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,"Dama dama (Linnaeus, 1758)",Dama dama,mandible,Mandible with teeth,Dama dama,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,middle phalanx,Phalanx anterior/posterior 2,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,proximal phalanx,Phalanx anterior/posterior 1,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,middle phalanx,Phalanx anterior/posterior 2,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,middle phalanx,Phalanx anterior/posterior 2,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,middle phalanx,Phalanx anterior/posterior 2,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,middle phalanx,Phalanx anterior/posterior 2,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,middle phalanx,Phalanx anterior/posterior 2,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Capra aegagrus,Capra aegagrus,middle phalanx,Phalanx anterior/posterior 2,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,middle phalanx,Phalanx anterior/posterior 2,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,middle phalanx,Phalanx anterior/posterior 2,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Ovis orientalis,Ovis orientalis,middle phalanx,Phalanx anterior/posterior 2,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-11900,-11700,Capra aegagrus,Capra aegagrus,middle phalanx,Phalanx anterior/posterior 2,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
-17840,-10950,Ovis orientalis,Ovis orientalis,fused metacarpal bones 3 and 4,Metacarpus III + IV,Ovis orientalis,,,,,,,,,,,,,,,,,,,,
-12500,-12100,Capra aegagrus,Capra aegagrus,tooth of lower jaw,Loose mandibular tooth,Capra aegagrus,,,,,,,,,,,,,,,,,,,,
